wavelength_nm,xbar,ybar,zbar
400,0.014290516,0.00039570507999999994,0.06776316
405,0.023741814,0.0006560309400000001,0.11284182400000001
410,0.043975472,0.0012227765999999998,0.20965276
415,0.078539126,0.0022108982,0.37570928000000003
420,0.13566148,0.004069952,0.65200444
425,0.21408612,0.0073341334,1.0360398800000001
430,0.2828651,0.011637600000000001,1.3810183200000001
435,0.32749882,0.016881322,1.61834634
440,0.34745564,0.023015402,1.7433969
445,0.34759914,0.029860865999999996,1.7807930200000002
450,0.33606834,0.0380723,1.77189464
455,0.31822632,0.048085078,1.74198554
460,0.29040796,0.060063754000000004,1.6669630999999998
465,0.25022784,0.07402711399999999,1.52285664
470,0.19562392,0.091168598,1.28830054
475,0.14236392,0.11281168,1.0424707999999998
480,0.095964138,0.13912226,0.81419692
485,0.058478478,0.16965616,0.61819266
490,0.032327062000000004,0.20851318000000002,0.46671862
495,0.015001829999999999,0.25908341999999995,0.3545076
500,0.0051772158,0.32394328,0.2729614
505,0.0027646506,0.40764512,0.21236278
510,0.009828458,0.50348304,0.15850006
515,0.02970106,0.60810154,0.112268316
520,0.06374618000000001,0.7090732799999999,0.07879303400000001
525,0.11001566199999999,0.79272256,0.057451438
530,0.16562384,0.86131432,0.042250854
535,0.22593456,0.91432282,0.029958666000000002
540,0.29059154,0.95348226,0.020406964
545,0.35986894,0.97981874,0.013491472
550,0.43365422000000003,0.9945767200000001,0.008814805
555,0.51221458,0.9996043,0.0057963198
560,0.5945455199999999,0.99451346,0.00392608
565,0.67840554,0.9782046799999999,0.0027699998
570,0.7619632000000001,0.95158826,0.0021144265999999998
575,0.84225306,0.9150608,0.0018069599999999998
580,0.9158220800000001,0.8696479400000001,0.0016437601999999998
585,0.97800598,0.816076,0.00139576
590,1.0256728599999998,0.7569046399999999,0.0011139734
595,1.05558966,0.69481818,0.000991072
600,1.06141904,0.6309978199999999,0.0008028159999999999
605,1.04443978,0.56680236,0.00059416534
610,1.00180256,0.50309686,0.00034985600000000006
615,0.9376355000000001,0.44127936000000006,0.000241488
620,0.85358038,0.38096192,0.0001868
625,0.7511424800000001,0.32115657999999997,0.00010270932600000001
630,0.64288826,0.26537418,5.1114664e-05
635,0.54210976,0.21721952,3.0314665999999997e-05
640,0.44815936,0.17519990000000002,1.9957332e-05
645,0.36119007999999997,0.13842572,9.8933326e-06
650,0.28403670000000003,0.10724262799999999,9.066665999999999e-07
655,0.21912742000000002,0.08178679400000001,0.0
660,0.16529996,0.06116621800000001,0.0
665,0.12158827999999999,0.044729418,0.0
670,0.087825258,0.032160714,0.0
675,0.063890554,0.02330786,0.0
680,0.046843812,0.017028547999999998,0.0
685,0.0330644,0.011981432,0.0
690,0.022836351999999997,0.0082597346,0.0
695,0.01593729,0.0057583632,0.0
700,0.0114010472,0.0041172062,0.0
