log_exposure_lux_s,density
-3.684156,0.847154
-3.384169,0.85148
-3.084208,0.864146
-2.784195,0.891967
-2.484234,0.978927
-2.184247,1.117057
-1.88426,1.277154
-1.584273,1.441106
-1.284286,1.600341
-0.984299,1.76148
-0.684338,1.920195
-0.384351,2.080374
-0.084364,2.240049
0.215649,2.393951
0.51561,2.526098
0.815623,2.630602
1.115558,2.708146
