wavelength_nm,log_sensitivity
382.036391,2.315225
392.028913,2.489814
402.031406,2.67435
412.023928,2.663793
422.016451,2.728408
432.006481,2.797029
442.008973,2.854377
452.001496,2.771326
461.994018,2.770928
471.994018,2.810027
481.989033,2.497507
491.979063,1.755093
501.971585,1.299708
511.971585,0.97626
521.9666,0.447772
