log_exposure_lux_s,density
-3.684156,0.580146
-3.384169,0.584943
-3.084208,0.596228
-2.784195,0.619528
-2.484234,0.710992
-2.184247,0.857073
-1.88426,1.023789
-1.584273,1.197106
-1.284286,1.362797
-0.984299,1.53052
-0.684338,1.696569
-0.384351,1.862846
-0.084364,2.029203
0.215649,2.18948
0.51561,2.328472
0.815623,2.442276
1.115558,2.528146
