wavelength_nm,log_sensitivity
561.901795,0.31382
571.901795,0.527825
581.901795,1.083952
591.899302,1.562069
601.904287,1.762971
611.904287,1.948859
621.904287,2.070902
631.90678,2.113607
641.90678,2.16687
651.909272,2.166552
661.909272,2.017268
671.909272,1.425491
681.909272,0.524854
