rel_log_exposure,density
-1.00052,0.251014
-0.910297,0.253984
-0.833362,0.257257
-0.76796,0.260553
0.084435,0.503285
0.109408,0.516379
0.134381,0.529691
0.909365,0.946146
0.934359,0.95974
0.959311,0.973442
0.984284,0.987035
1.009408,1.000607
1.759246,1.417106
1.784219,1.431176
1.809343,1.4449
2.672057,1.773182
2.726664,1.789897
2.788793,1.809084
2.859202,1.830938
