rel_log_exposure,density
-1.00052,0.65639
-0.910297,0.659837
-0.833362,0.663415
-0.76796,0.667621
0.084435,0.943935
0.109408,0.957355
0.134381,0.970949
0.909365,1.412401
0.934359,1.426602
0.959311,1.440824
0.984284,1.455176
1.009408,1.469377
1.759246,1.892726
1.784219,1.906623
1.809343,1.920369
1.834316,1.93394
2.159289,2.088954
2.184284,2.098168
2.209256,2.107057
2.623824,2.231631
2.672057,2.246005
2.726664,2.262222
2.859202,2.301897
